id,code,description,category,subcategory,unit,rate
mjd-000001,SUM-0001,"Preliminaries, provisional",Summary,General,ltr,0.15
mjd-000002,SUM-0002,"Preliminaries, phase 1",Summary,General,ltr,48049.6
mjd-000003,SUM-0003,"less prompt payment discount",Summary,General,tonne,0.03
mjd-000004,SUM-0004,"Nett Amount",Summary,General,tonne,46848.36
mjd-000005,SET-0005,"after discount reduces to:",Set factors  prices,General,tonne,0.15
mjd-000006,SET-0006,"Re-visits (External Works)",Set factors  prices,General,tonne,0.25
mjd-000008,SET-0001,"Clean inert disposal",Set factors  prices,Disposal,ltr,300
mjd-000009,SET-0002,"Non-hazardous disposal (treatable)",Set factors  prices,Disposal,ltr,400
mjd-000010,SET-0003,"Non-hazardous disposal (tip)",Set factors  prices,Disposal,ltr,550
mjd-000011,SET-0004,"Hazardous disposal (treatable)",Set factors  prices,Disposal,ltr,1500
mjd-000012,SET-0005,"Hazardous disposal (tip)",Set factors  prices,Disposal,ltr,2500
mjd-000013,SET-0006,"Hazardous disposal (asbestos)",Set factors  prices,Disposal,ltr,3500
mjd-000014,SET-0014,"Broken concrete",Set factors  prices,Concrete Supply,tonne,150
mjd-000015,SET-0015,"Hardcore / piling mat",Set factors  prices,Piling,tonne,150
mjd-000016,SET-0016,"Rollonrolloff skip; 15m3",Set factors  prices,General,m³,650
mjd-000017,SET-0017,"hardcore / crushed concrete",Set factors  prices,Concrete Supply,tonne,160
mjd-000018,SET-0018,"type 1 (c/c)",Set factors  prices,General,tonne,300
mjd-000019,SET-0019,"type 1 (stone)",Set factors  prices,Masonry,tonne,500
mjd-000020,SET-0020,"permeable aggregate 4/20",Set factors  prices,Fencing & Barriers,tonne,600
mjd-000021,SET-0021,"permeable aggregate 4/40",Set factors  prices,Fencing & Barriers,tonne,650
mjd-000022,SET-0022,"permeable aggregate 10/63",Set factors  prices,Fencing & Barriers,tonne,500
mjd-000023,SET-0023,"pea shingle",Set factors  prices,General,ltr,450
mjd-000024,SET-0024,"topsoil; standard grade",Set factors  prices,Landscaping,tonne,400
mjd-000025,SET-0025,"topsoil; BS3882",Set factors  prices,Landscaping,tonne,600
mjd-000026,SET-0026,"GEN0 / C8 / ST1",Set factors  prices,General,tonne,118
mjd-000027,SET-0027,"GEN1 / C10 / ST2",Set factors  prices,General,tonne,119
mjd-000028,SET-0028,"GEN2 / C15 / ST3",Set factors  prices,General,tonne,120
mjd-000029,SET-0029,"GEN3 / C20 / ST4",Set factors  prices,General,tonne,121
mjd-000030,SET-0030,"C30/RC30; DS/DC/AC-2/3/4; S2",Set factors  prices,General,item,124
mjd-000031,SET-0031,"C30/RC30; DS/DC/AC-2/3/4; S3",Set factors  prices,General,item,125
mjd-000032,SET-0032,"C30/RC30; CEM1; S3/pump",Set factors  prices,Dewatering,item,128
mjd-000033,SET-0033,"C30 PAV1 (Air Entrained)",Set factors  prices,General,tonne,143
mjd-000034,SET-0034,"FND2/3/4 (C35/RC35); blended; 20agg; S2-3/skip",Set factors  prices,General,ltr,126
mjd-000035,SET-0035,"FND2/3/4 (C35/RC35); blended; 20agg; S3-4/pump",Set factors  prices,Dewatering,ltr,127
mjd-000036,SET-0036,"C35/RC35; CEM1; S3/pump",Set factors  prices,Dewatering,item,130
mjd-000037,SET-0037,"C35 PAV2 (Air Entrained)",Set factors  prices,General,tonne,145
mjd-000038,SET-0038,"C40/RC40; DS/DC/AC-2/3/4; blended; 20agg; S3/skip",Set factors  prices,General,ltr,128
mjd-000039,SET-0039,"C40/RC40; DS/DC/AC-2/3/4; blended; 20agg; S4/pump",Set factors  prices,Dewatering,ltr,129
