id,code,description,category,subcategory,unit,rate,quantity
MJD-000001,GEN-00001,"Oliver Connell & Son Limited","General Construction","Miscellaneous",tonne,0,0
MJD-000002,GEN-00002,"TOTAL ALLOWANCE","General Construction","Miscellaneous",tonne,0,0
MJD-000003,LAB-00003,"LABOUR","Labour","Labour Resources",ltr,44701,0
MJD-000004,GEN-00004,"MATERIALS","General Construction","Miscellaneous",tonne,44701,0
MJD-000005,GEN-00005,"PRELIMS","General Construction","Miscellaneous",ltr,44701,0
MJD-000006,GEN-00006,"ref xxxx","General Construction","Miscellaneous",item,48049.6,0
MJD-000007,GEN-00007,"Conc lab","General Construction","Miscellaneous",ltr,48049.6,0
MJD-000008,GEN-00008,"S/fixer","General Construction","Miscellaneous",item,48049.6,0
MJD-000009,EXT-00009,"Plant Op","External Works","Landscaping",tonne,48049.6,0
MJD-000010,GEN-00010,"Ply/Tim","General Construction","Miscellaneous",tonne,48049.6,0
MJD-000011,GEN-00011,"Temp mat","General Construction","Miscellaneous",tonne,48049.6,0
MJD-000012,CON-00012,"Concrete","Concrete Works","Concrete Supply",tonne,48049.6,0
MJD-000013,GEN-00013,"Schedule of Works","General Construction","Miscellaneous",ltr,0,0
MJD-000014,GEN-00014,"man weeks","General Construction","Miscellaneous",week,0,0
MJD-000015,GEN-00015,"Underpinning","General Construction","Miscellaneous",item,0,0
MJD-000016,GEN-00016,"Groundworks","General Construction","Miscellaneous",item,0,0
MJD-000017,GEN-00017,"RC Works","General Construction","Miscellaneous",item,0,0
MJD-000018,EXT-00018,"Drainage","External Works","External Drainage",drum,0,0
MJD-000019,GEN-00019,"Services","General Construction","Miscellaneous",item,0,0
MJD-000020,GEN-00020,"External Works","General Construction","Miscellaneous",tonne,0,0
MJD-000021,GEN-00021,"Builders Work & Attendances","General Construction","Miscellaneous",tonne,0,0
MJD-000022,GEN-00022,"Cost Plan / Budget Costs","General Construction","Miscellaneous",tonne,0,0
MJD-000023,GEN-00023,"Provisional Sums","General Construction","Miscellaneous",ltr,0,0
MJD-000024,GEN-00024,"Dayworks","General Construction","Miscellaneous",item,0,0
MJD-000025,GEN-00025,"Addenda / VE","General Construction","Miscellaneous",item,0,0
MJD-000026,GEN-00026,"Balancing","General Construction","Miscellaneous",ltr,0,0
MJD-000027,STR-00027,"Sub-Total","Structural Steel","Steel Sections",tonne,0,0
MJD-000028,GEN-00028,"Preliminaries, provisional","General Construction","Miscellaneous",ltr,0.15,0
MJD-000029,GEN-00029,"Preliminaries, phase 1","General Construction","Miscellaneous",ltr,48049.6,0
MJD-000030,GEN-00030,"Preliminaries, phase 2","General Construction","Miscellaneous",ltr,0,0
MJD-000031,GEN-00031,"Principal Preliminaries","General Construction","Miscellaneous",ltr,0,0
MJD-000032,PRE-00032,"Tower Craneage","Preliminaries","Lifting Equipment",tonne,146237.74,0
MJD-000033,GEN-00033,"Extended hire","General Construction","Miscellaneous",tonne,0,0
MJD-000034,PRE-00034,"Mobile/Crawler Cranes","Preliminaries","Lifting Equipment",ltr,180091.6,0
MJD-000035,GEN-00035,"Fixed Price Allowance","General Construction","Miscellaneous",ltr,0,0
MJD-000036,GEN-00036,"3.0394439999999996e-9","General Construction","Miscellaneous",item,0,0
MJD-000037,GEN-00037,"2.5008e-9","General Construction","Miscellaneous",item,0,0
MJD-000038,GEN-00038,"7.5e-11","General Construction","Miscellaneous",item,0,0
MJD-000039,GEN-00039,"Contingency","General Construction","Miscellaneous",tonne,0,0
MJD-000040,GEN-00040,"Tender Sum","General Construction","Miscellaneous",tonne,48049.6,0
MJD-000041,GEN-00041,"less prompt payment discount","General Construction","Miscellaneous",tonne,40720,0
MJD-000042,GEN-00042,"Nett Amount","General Construction","Miscellaneous",tonne,46848.36,0
MJD-000043,GEN-00043,"total man wks","General Construction","Miscellaneous",tonne,46848.36,0
MJD-000044,GEN-00044,"per m3","General Construction","Miscellaneous",m³,0,0
MJD-000045,GEN-00045,"ave manpower","General Construction","Miscellaneous",item,0,0
MJD-000046,GEN-00046,"BUDGET","General Construction","Miscellaneous",tonne,0,0
MJD-000047,GEN-00047,"Floor area","General Construction","Miscellaneous",ltr,0,0
MJD-000048,GEN-00048,"Conc vol","General Construction","Miscellaneous",ltr,0,0
MJD-000050,GEN-00050,"ref xxxx","General Construction","Miscellaneous",item,0,0
MJD-000051,GEN-00051,"Set factors & bulk prices","General Construction","Miscellaneous",tonne,0,0
MJD-000052,GEN-00052,"Quote from: / Comments","General Construction","Miscellaneous",tonne,0,0
MJD-000053,GEN-00053,"Overheads and Profits","General Construction","Miscellaneous",tonne,0,0
MJD-000054,STR-00054,"Default subject to review: ex £10m=18%-PPD. £5-10m=20%-PPD. £3-5m=22%, £1-3m=25%, Less than £1m=30%","Structural Steel","Steel Sections",tonne,0,0
MJD-000055,GEN-00055,"Main Works","General Construction","Miscellaneous",item,0.18,0
MJD-000056,STR-00056,"after discount reduces to:","Structural Steel","Steel Sections",tonne,0.18,0
MJD-000057,GEN-00057,"Nett O/H&P mark up","General Construction","Miscellaneous",tonne,0.18,0
MJD-000058,GEN-00058,"Re-visits (External Works)","General Construction","Miscellaneous",tonne,0.25,0
MJD-000061,GEN-00061,"Discount","General Construction","Miscellaneous",tonne,0.025,0
MJD-000062,GEN-00062,"qualify Commercial or Prompt Payment?","General Construction","Miscellaneous",tonne,0.025,0
MJD-000063,GEN-00063,"Quants","General Construction","Miscellaneous",tonne,0,0
MJD-000064,GRO-00064,"Disposal / Cart Away","Groundworks","Disposal",m³,0,0
MJD-000065,SET-0001,"Clean inert disposal","Groundworks","Disposal",tonne,300,1
MJD-000066,GEN-00066,"per load","General Construction","Miscellaneous",ltr,0,300
MJD-000067,SET-0002,"Non-hazardous disposal (treatable)","Groundworks","Disposal",nr,400,2
MJD-000069,SET-0003,"Non-hazardous disposal (tip)","Groundworks","Disposal",nr,550,3
MJD-000071,SET-0004,"Hazardous disposal (treatable)","Groundworks","Disposal",tonne,1500,4
MJD-000073,SET-0005,"Hazardous disposal (tip)","Groundworks","Disposal",tonne,2500,5
MJD-000075,SET-0006,"Hazardous disposal (asbestos)","Groundworks","Disposal",tonne,3500,6
MJD-000077,CON-00077,"Broken concrete","Concrete Works","Concrete Supply",tonne,150,0
MJD-000079,GRO-00079,"Hardcore / piling mat","Groundworks","Piling",tonne,150,0
MJD-000081,EXT-00081,"Tarmac","External Works","Roads & Surfacing",tonne,160,0
MJD-000083,GEN-00083,"Rollonrolloff skip; 15m3","General Construction","Miscellaneous",m³,650,0
MJD-000084,GEN-00084,"per skip","General Construction","Miscellaneous",item,0,650
MJD-000085,STR-00085,"subsoil","Structural Steel","Steel Sections",ltr,180,0
MJD-000087,CON-00087,"hardcore / crushed concrete","Concrete Works","Concrete Supply",tonne,160,0
MJD-000093,GEN-00093,"type 3","General Construction","Miscellaneous",tonne,450,0
MJD-000095,GEN-00095,"type 2","General Construction","Miscellaneous",tonne,280,0
MJD-000097,GEN-00097,"type 1 (c/c)","General Construction","Miscellaneous",tonne,300,0
MJD-000099,MAS-00099,"type 1 (stone)","Masonry","Stonework",tonne,500,0
MJD-000101,GEN-00101,"CBGM 2","General Construction","Miscellaneous",m³,120,0
MJD-000102,EXT-00102,"permeable aggregate 4/20","External Works","Fencing & Gates",tonne,600,0
MJD-000104,EXT-00104,"permeable aggregate 4/40","External Works","Fencing & Gates",tonne,650,0
MJD-000106,EXT-00106,"permeable aggregate 10/63","External Works","Fencing & Gates",tonne,500,0
MJD-000108,ROO-00108,"pea shingle","Roofing","Roof Coverings",ltr,450,0
MJD-000111,EXT-00111,"topsoil; standard grade","External Works","Landscaping",tonne,400,0
MJD-000113,EXT-00113,"topsoil; BS3882","External Works","Landscaping",tonne,600,0
MJD-000115,GEN-00115,"Buying gain","General Construction","Miscellaneous",item,0,0
MJD-000116,CON-00116,"Concrete Ready Mix delivered to site","Concrete Works","Concrete Supply",tonne,0,0
MJD-000118,GEN-00118,"GEN0 / C8 / ST1","General Construction","Miscellaneous",m³,118,0
MJD-000119,GEN-00119,"GEN1 / C10 / ST2","General Construction","Miscellaneous",m³,119,0
MJD-000120,GEN-00120,"GEN2 / C15 / ST3","General Construction","Miscellaneous",m³,120,0
MJD-000121,GEN-00121,"GEN3 / C20 / ST4","General Construction","Miscellaneous",m³,121,0
MJD-000122,GEN-00122,"C30/RC30; DS/DC/AC-2/3/4; S2","General Construction","Miscellaneous",m³,124,0
MJD-000123,GEN-00123,"C30/RC30; DS/DC/AC-2/3/4; S3","General Construction","Miscellaneous",m³,125,0
MJD-000124,GEN-00124,"C30/RC30","General Construction","Miscellaneous",m³,124,0
MJD-000125,PLA-00125,"C30/RC30; CEM1; S3/pump","Plant","Small Plant",m³,128,0
MJD-000126,GEN-00126,"C30 PAV1 (Air Entrained)","General Construction","Miscellaneous",m³,143,0
MJD-000127,GEN-00127,"FND2/3/4 (C35/RC35); blended; 20agg; S2-3/skip","General Construction","Miscellaneous",m³,126,0
MJD-000128,PLA-00128,"FND2/3/4 (C35/RC35); blended; 20agg; S3-4/pump","Plant","Small Plant",m³,127,0
MJD-000129,GEN-00129,"C35/RC35","General Construction","Miscellaneous",m³,126,0
MJD-000130,PLA-00130,"C35/RC35; CEM1; S3/pump","Plant","Small Plant",m³,130,0
MJD-000131,GEN-00131,"C35 PAV2 (Air Entrained)","General Construction","Miscellaneous",m³,145,0
MJD-000132,GEN-00132,"C40/RC40; DS/DC/AC-2/3/4; blended; 20agg; S3/skip","General Construction","Miscellaneous",m³,128,0
MJD-000133,PLA-00133,"C40/RC40; DS/DC/AC-2/3/4; blended; 20agg; S4/pump","Plant","Small Plant",m³,129,0
MJD-000134,GEN-00134,"C40/RC40; blended; 20agg; S3/skip","General Construction","Miscellaneous",m³,128,0
MJD-000135,PLA-00135,"C40/RC40; CEM1, 20agg; S4/pump","Plant","Small Plant",m³,132,0
MJD-000136,PLA-00136,"C40/RC40; CEM1, S3/pump/slipform","Plant","Small Plant",m³,137,0
MJD-000137,PLA-00137,"C40/RC40 Air Entrained PQC; 20agg; S3-4/pump","Plant","Small Plant",m³,152,0
MJD-000138,CON-00138,"C40/RC40 with fibre reinforcement","Concrete Works","Reinforcement",m³,170,0
MJD-000139,GRO-00139,"C40; Self Compacting","Groundworks","Compaction",m³,168,0
MJD-000140,CON-00140,"Lightweight Concrete LC 32/35 Lytag","Concrete Works","Concrete Supply",m³,219,0
MJD-000141,CON-00141,"Lightweight Concrete LC 35/38 Lytag","Concrete Works","Concrete Supply",m³,223,0
MJD-000142,GEN-00142,"C45/RC45; DS/DC/AC-2/3/4; S2","General Construction","Miscellaneous",m³,131,0
MJD-000143,PLA-00143,"C45/RC45; DS/DC/AC-2/3/4; S3/pump","Plant","Small Plant",m³,132,0
MJD-000144,GEN-00144,"C45/RC45; S2","General Construction","Miscellaneous",m³,131,0
MJD-000145,PLA-00145,"C45/RC45; CEM1; S3/pump","Plant","Small Plant",m³,135,0
MJD-000146,PLA-00146,"C45/RC45; CEM1; S3/pump/slipform","Plant","Small Plant",m³,140,0
